,工作名称,工作城市,工作地点,工作公司,工作薪资,最大薪资(K),最小薪资(K),平均工资(K),工作学历,工作标签,工作经验,招聘详情页链接
1277,Python开发工程师,天津,天津·西青区·大学城,卓漫科技,5-10K·13薪,10,5,7.5,本科,互联网,经验不限,https://www.zhipin.com/gongsi/3a755c690cc05fcb1Hd_39S5GA~~.html
1278,python,天津,天津·东丽区·军粮城,富士康,8-12K·13薪,12,8,10.0,本科,互联网,5-10年,https://www.zhipin.com/gongsi/9c231fb2be25afd133B82Nw~.html
1279,生信开发工程师,天津,天津·武清区·北郑,诺禾致源,10-15K,15,10,12.5,硕士,医疗健康,经验不限,https://www.zhipin.com/gongsi/0a2e6be3ee43c2f11HB52di5.html
1280,智能运维高级研究员,天津,天津·东丽区·华明,联想集团,22-40K,40,22,31.0,本科,计算机硬件,5-10年,https://www.zhipin.com/gongsi/0c0d7740db04efb90HZ_29y0Fg~~.html
1281,云计算研发工程师,天津,天津,中科曙光,13-26K·14薪,26,13,19.5,本科,互联网,5-10年,https://www.zhipin.com/gongsi/31b75c73e218524c33182tw~.html
1282,python/Java/c++编程老师,天津,天津·南开区·鼓楼,童程童美儿童教育,6-11K,11,6,8.5,本科,在线教育,经验不限,https://www.zhipin.com/gongsi/636b4f6fe2ab63131nd429-0Fw~~.html
1283,python开发,天津,天津·东丽区·军粮城,富士康,6-11K·13薪,11,6,8.5,本科,互联网,1-3年,https://www.zhipin.com/gongsi/9c231fb2be25afd133B82Nw~.html
1284,python,天津,天津·红桥区·水游城,拓尔思,5-10K,10,5,7.5,大专,互联网,经验不限,https://www.zhipin.com/gongsi/867dad38d96404220nJy2w~~.html
1285,Python工程师,天津,天津·西青区·张家窝,卓漫科技,6-11K,11,6,8.5,本科,互联网,经验不限,https://www.zhipin.com/gongsi/3a755c690cc05fcb1Hd_39S5GA~~.html
1286,Python,天津,天津,麒麟软件,15-30K·15薪,30,15,22.5,本科,计算机软件,经验不限,https://www.zhipin.com/gongsi/d83be68b408c46850Hx_2dW4Fg~~.html
1287,编程教学经理/总监,天津,天津·河东区·大王庄,锐思教育,15-25K,25,15,20.0,本科,培训机构,5-10年,https://www.zhipin.com/gongsi/f615288c8187b38a3nF50t26FA~~.html
1288,Python开发工程师,天津,天津·南开区·时代奥城,珞安科技,12-24K,24,12,18.0,本科,计算机软件,1-3年,https://www.zhipin.com/gongsi/6b7bba6e2a182d201HZ50tW9Fg~~.html
1289,机器学习框架研发工程师,天津,天津·河西区·马场街,微企信息,13-26K,26,13,19.5,本科,计算机软件,3-5年,https://www.zhipin.com/gongsi/3ffa7eacd56a53571HV70t68.html
1290,Python爬虫工程师,天津,天津·南开区·南开大学,先特网络,15-22K,22,15,18.5,本科,计算机服务,5-10年,https://www.zhipin.com/gongsi/083a9d591a4d7c101nF42tm4Fw~~.html
1291,Python开发工程师,天津,天津·西青区·张家窝,中科曙光,13-26K,26,13,19.5,本科,互联网,经验不限,https://www.zhipin.com/gongsi/31b75c73e218524c33182tw~.html
1292,管培生(J10862),天津,天津·南开区·王顶堤,知道创宇,11-18K,18,11,14.5,本科,互联网,经验不限,https://www.zhipin.com/gongsi/52dfb5966e9b6ee71HR709u9.html
1293,Python开发工程师,天津,天津·西青区·大学城,工大科雅,11-20K,20,11,15.5,本科,智能硬件,1-3年,https://www.zhipin.com/gongsi/0cd3033af2e1ac0e0X173NS7.html
1294,Python开发工程师,天津,天津·河西区·尖山,东方金信,12-20K,20,12,16.0,本科,计算机软件,3-5年,https://www.zhipin.com/gongsi/8983b004dcc00a681nZ63tW7FlY~.html
