title,bvid,link,up,play,bulletchat,reply,like,coin,favorite,share,labels,length
四喜丸子,BV14H4y1q7xq,https://b23.tv/BV14H4y1q7xq,八零徐姥姥,1199541,2249,878,125825,8749,4679,2438,"['爱的故事(上)', '生活', '三农', '美食', '生活记录', '记录']",332
生活中，我时常觉得自己有一些超能力,BV17u4y157Jv,https://b23.tv/BV17u4y157Jv,papi酱,2244059,1759,2155,207605,10152,5872,4727,"['生活', '搞笑', '娱乐', '生活记录', '段子']",113
薛定谔的胖铁盒,BV1yC4y1m7Ur,https://b23.tv/BV1yC4y1m7Ur,幾加乘,1069508,3241,1366,145614,44455,19995,14783,"['动物趣事榜', '动画', '短片·手书', '手书', '鬼畜', '搞笑', '脑洞', '猫', '原创动画']",316
【罗翔】张三弄虚作假却风生水起，做真好人真难！经验世界无法给人自洽，我们该怎么办？,BV1k94y1V7vV,https://b23.tv/BV1k94y1V7vV,罗翔说刑法,1502238,3196,3626,154216,30976,18610,6029,"['知识', '社科·法律·心理', '罗翔', '世界', '社会', '普法', '王阳明', '经验', '张三']",356
完美解决祖父悖论！究极烧脑的悬疑科幻《前目的地》,BV1mC4y1m7Cz,https://b23.tv/BV1mC4y1m7Cz,培根悖论唠唠嗑,1925054,7136,3412,75564,14328,40364,5771,"['让人惊艳的悬疑佳作', '影视', '影视杂谈', '科幻', '电影解说', '悬疑', '烧脑', '经典电影', '最强安利王3.0', '祖父悖论', '时空穿越']",2094
《掠影纷争》首曝PV | 向世界挥拳,BV1rv411F7QD,https://b23.tv/BV1rv411F7QD,掠影纷争,1654945,256,1003,16020,2773,4636,3651,"['游戏', '手机游戏', 'RPG', '手机游戏', '手游', '游戏', 'PV', '掠影纷争', '掠影纷争首曝', '首曝', '变身英雄', '角色扮演']",65
【BA】钢铁侠大战美国队长！谁才是对的？！万字解析《美国队长3：内战》！,BV1hN4y1m7JS,https://b23.tv/BV1hN4y1m7JS,BuriedAlien,1095007,17142,4353,66437,44405,22932,2226,"['人人都能聊影视', '影视', '影视杂谈', '黑寡妇', '美国队长', '钢铁侠', '复仇者联盟', '漫威', '托尼斯塔克', '最强安利王3.0', 'MCU', '美国队长3：内战', '美队3']",5236
大胆点，向前跑，我们的青春本该热烈。,BV1uz4y1A71h,https://b23.tv/BV1uz4y1A71h,大圆哥_,2287207,4614,2901,241873,89988,25549,8583,"['当', '生活', '搞笑', '高考', '校园', '生活记录']",686
这是史上最会玩梗的游戏作者（,BV1fw411A7S9,https://b23.tv/BV1fw411A7S9,二控_,1130501,424,509,30068,1526,5540,562,"['整点电子榨菜', '游戏', '单机游戏', '沙雕游戏', '游戏解说', '搞笑', '单机游戏', '游戏', '游戏实况', '二控', '抽象', '整活', '整点电子榨菜第七期']",296
《重返未来：1999》1.5版本PV：复兴！乌卢鲁运动会,BV1PG411D7nH,https://b23.tv/BV1PG411D7nH,重返未来1999,1652512,5358,8006,72511,22658,13380,17631,"['游戏', '手机游戏', '重返未来1999', '手游', '游戏', 'PV', '深蓝互动', '重返未来1.5版本', '复兴乌卢鲁运动会']",276
花120w在韩国变美，结果丑到容貌焦虑…,BV1eC4y1j7ya,https://b23.tv/BV1eC4y1j7ya,小桑菜奈,1291269,3733,1090,40308,4185,14121,810,"['时尚', '美妆护肤', '化妆', '美妆', '韩国', '整容', '容貌', '分享', '结果', 'Vlog', '容貌焦虑']",413
拥有我你就能拥有...,BV1cv411c7yk,https://b23.tv/BV1cv411c7yk,铃乃Chan,863869,943,2317,129438,12968,16955,3071,"['这个配音厉害了', '动画', '配音', 'VR', '声优', '虚拟UP主', '萌', '河南话', '可爱', '游戏', '声真似', 'VRChat', '配音新声代3.0']",47
在 我 这 呐,BV1Vj411J7PE,https://b23.tv/BV1Vj411J7PE,頹男,2184753,1015,1304,174990,30556,23518,11195,"['往事只能回味', '鬼畜星探企划', '影视', '影视剪辑', '复仇者联盟', '鬼畜剧场', '科幻', '超级英雄', '鬼畜', '特效', '电影剪辑', '脑洞', '唐人街探案']",98
动态视频｜我们用记忆金属做了一盆花...,BV1gN411M7kh,https://b23.tv/BV1gN411M7kh,老师好我叫何同学,5496277,12068,3753,943699,94949,132944,23833,"['科技猎手2023', '生活', '日常', 'DIY', '何同学', '记忆金属', '小视频', '金属花']",83
美的不真实…这是在动漫里跳舞吗！？,BV1xG411D7tt,https://b23.tv/BV1xG411D7tt,#NAME?,533981,379,851,32657,7481,9101,892,"['溯 (Reverse) feat. 马吟吟', '跳一支秋日国风舞', '舞蹈', '国风舞蹈', '中国风', '4K', '舞蹈', '原创', '原创舞蹈', '即兴舞蹈', '大理', '溯', '秋日舞蹈激励计划']",118
【吸奇侠】第一奇书《金瓶梅》01 天饼星的陨落,BV1hw411H79u,https://b23.tv/BV1hw411H79u,吸奇侠,1110044,5912,2637,68738,29032,24903,5548,"['影视', '影视杂谈', '水浒传', '历史', '知识', '奇书', '金瓶梅', '名著']",1522
【影史上100个关于窗的镜头】“或许生活难免落俗，但浪漫至死不渝。”,BV1Jj411J75b,https://b23.tv/BV1Jj411J75b,白日妄想家,513449,538,450,66922,16035,55274,3123,"['Summer Ghost', '影视神仙剪刀手', '影视', '影视剪辑', '张曼玉', '影视剪辑', '混剪', '风景', '浪漫', '电影', '经典', '系列', '电影美学']",136
对象家人出车祸了也会先陪我吃完火锅？,BV1iu4y1b7Zb,https://b23.tv/BV1iu4y1b7Zb,蜡笔小坨恰恰恰,1927751,8218,3571,159431,88659,25438,26135,"['人人都能聊影视', '影视', '影视杂谈', '王鹤棣', '白鹿', '最强安利王3.0', '郭虎', '以爱为营']",732
做了一个夜里看恐怖片不害怕的地下钢铁安全屋,BV19w411T7pk,https://b23.tv/BV19w411T7pk,手工耿,11749375,107462,25989,1173894,865920,244867,173300,"['外星降临活着就行', '科技', '极客DIY', '机械', '科技', '星球重启', '地下安全屋', '极客DIY', '“外星降临活着就行”星球重启创作激励计划']",932
《原神》剧情PV-「轻涟」,BV1Jg4y197YW,https://b23.tv/BV1Jg4y197YW,原神,10973505,24499,22641,556437,460256,291501,97452,"['游戏', '手机游戏', '原神', '原神枫丹', '芙宁娜', '米哈游', 'miHoYo']",158
三国灭爸为什么活不长？【小约翰】,BV16a4y1Q7by,https://b23.tv/BV16a4y1Q7by,小约翰可汗,6323793,26120,8138,458295,96645,69607,15464,"['历史人文档案馆', '知识', '人文历史', '吕布', '三国演义', '历史', '人文', '三国', '知识', '战争', '人物', '大话西游手游']",1148
