title,bvid,link,up,play,bulletchat,reply,like,coin,favorite,share,labels,length
《崩坏：星穹铁道》1.4版本「冬梦激醒」前瞻特别节目,BV1XH4y1m7f2,https://b23.tv/BV1XH4y1m7f2,崩坏星穹铁道,2853596,51155,8786,213939,83620,46044,11167,"['酣眠 Sleep Tight', '游戏', '手机游戏', '崩坏：星穹铁道', '前瞻特别节目', '崩坏星穹铁道', '冬梦激醒', '米哈游', 'miHoYo', '三月七']",2461
《崩坏3》动画短片-「婚 前 旅 行」,BV1tu411u7Qm,https://b23.tv/BV1tu411u7Qm,特效小哥studio,1836804,2148,2463,260073,104095,106817,14904,[],0
我用12支笔，演奏了《悬溺》？,BV1km4y1V7nw,https://b23.tv/BV1km4y1V7nw,胖雪人Ozu,2006837,2402,1948,234269,77956,60828,13240,"['悬溺', '演奏挑战赛', '音乐', '演奏', '笛子', '手工', '创意', '笔', '排箫', '创意乐器', '万物皆可演奏', '胖雪人', '演奏挑战赛第六期']",123
细读经典：不接受任何反驳！这就是华语影史最好的战争电影,BV1xh4y1h7Rb,https://b23.tv/BV1xh4y1h7Rb,电影最TOP,2794481,32746,4246,138159,115962,38701,9931,"['人人都能聊影视', '影视', '影视杂谈', '唐国强', '谢晋', '高山下的花环', '最强安利王2.0']",3190
这是我玩过最抽象的宝可梦了 ④,BV1BV411F7XN,https://b23.tv/BV1BV411F7XN,老番茄,2816863,4573,2478,281166,68977,32721,5629,"['万物皆可游戏', '游戏', '单机游戏', '搞笑', '老番茄', '口袋妖怪', '宝可梦', '高能', '神奇宝贝', '宠物小精灵', 'pokemon', '沙雕']",532
请不要在台球厅打高尔夫,BV17F411U7UJ,https://b23.tv/BV17F411U7UJ,孙逸轰,3502344,4631,3562,533435,37219,87403,47721,"['搞笑研究所', '生活', '搞笑', '台球', '搞笑', '生活记录', '母球杀手', '高尔夫', '抽象', '搞笑研究所2023 6.0人人都是爆梗王']",240
《原神》过场动画-「为时尚早」,BV1kw411m7TV,https://b23.tv/BV1kw411m7TV,原神,2325504,8775,7118,176293,48702,40491,19750,"['游戏', '手机游戏', '原神', '枫丹', '原神4.1', '莱欧斯利', '克洛琳德', '米哈游', 'miHoYo', '那维莱特']",250
让十五个艺术家创作同一个题材的作品，能有多卷？,BV1Ep4y1c74P,https://b23.tv/BV1Ep4y1c74P,张煜东East,6694998,6381,2435,627928,187761,179613,18782,"['画画的日常', '生活', '绘画', '艺术家的快乐日常', '一起来画画吧！二创挑战月']",451
ROOMTOUR 家装展示(小户型清新风),BV1zw411w744,https://b23.tv/BV1zw411w744,hanser,1511314,9285,3546,235322,110888,70285,8380,"['生活', '家居房产', '室内设计', '家居', '生活记录', '记录', '家装', 'hanser', 'Room Tour']",964
很明显这游戏需要让我滚,BV1BF41127Pb,https://b23.tv/BV1BF41127Pb,杜海皇,3871013,21794,2977,243187,72950,50573,3567,"['万物皆可游戏', '游戏', '单机游戏', '搞笑', '单机游戏', '魔性', '全程高能', '逗比', '奇葩', '游戏', '娱乐', '杜海皇']",954
我抽的北黑怎么和你们不一样？,BV1T84y1m7wb,https://b23.tv/BV1T84y1m7wb,Baka恶魔,1088125,419,1114,135342,4454,16396,1791,"['Zeppelin Bass Machine (feat. R5on11c)', '优俊少女北黑', '动画', 'MAD·AMV', 'AMV', 'MAD', '北黑', '闪耀优俊少女', '赛马娘', '整活', '北部玄驹', '里见光钻', '闪耀！优俊少女', '闪耀吧俺的爱马 第二期']",80
古人到底是怎么想到用泥巴铺在布料上的？香云纱制作技艺,BV14z4y1G7WQ,https://b23.tv/BV14z4y1G7WQ,李意纯,1844881,2693,1453,254948,172430,29721,3389,"['辞·九门回忆', '生活', '手工', '手工', '国风', '原创', '非遗', '丝绸', '香云纱']",368
《明日方舟》主题曲【恶兆湍流】开放 限时纪念活动宣传pv,BV1eV411F7u9,https://b23.tv/BV1eV411F7u9,明日方舟,1942403,11734,11446,122956,37903,15488,33052,"['游戏', '手机游戏', '明日方舟']",154
【罗翔】又是一年中秋夜，人生何处寻圆满,BV1j841117RG,https://b23.tv/BV1j841117RG,罗翔说刑法,1596536,5641,3162,235152,55091,21549,9342,"['知识', '社科·法律·心理', '罗翔', '人生', '祝福', '中秋', '圆满']",266
起猛了，30个北黑共舞到底是什么情况,BV1tm4y137JP,https://b23.tv/BV1tm4y137JP,特雷森食堂,760605,671,1462,60366,2533,9222,4501,"['うまぴょい伝説', '闪耀吧俺的爱马', '游戏', '手机游戏', '北黑', '花崎Makura', '闪耀优俊少女', '野生鱼白', '赛马娘', '广州cicf', '舞小喵', '瓜希酱', '北部玄驹', '闪耀吧俺的爱马 第二期']",136
国家队出战！百大UP主与“写诗鬼才”共创《今相思曲》，双向奔赴！,BV1iw411Y7Zh,https://b23.tv/BV1iw411Y7Zh,尔东和小明,1055425,628,1088,95753,23398,20665,2440,"['写诗鬼才', '音乐', '原创音乐', '古筝', '开口跪', '原创歌曲', '演奏', '今相思曲', '墨韵', '戴建业', '咻咻满', '尔东和小明']",316
一位男性在十多年来每天喝下7升汽水，这是他的肾脏发生的变化,BV158411C7e1,https://b23.tv/BV158411C7e1,Chubbyemu,3591979,16277,8439,220167,33582,32290,27642,"['万物研究所', '知识', '科学科普', '医学', '4K', '科普', '知识', '汽水', 'Chubbyemu', '万物研究所·奖学金计划']",1153
【warma】不要被可爱的外表欺骗了！【游戏杂谈/第三期】,BV1bj411b7Ds,https://b23.tv/BV1bj411b7Ds,Warma,2144890,14175,3747,188241,90380,59754,5935,"['万物皆可游戏', '游戏', '单机游戏', '任天堂', 'switch', '单机游戏', '杂谈', '游戏杂谈', '皮克敏', 'warma', '沃玛']",2850
【纸嫁衣】⚡奘！铃！村！连！着！村！外！村！⚡,BV1Cz4y137td,https://b23.tv/BV1Cz4y137td,Cycle参辰,1119580,531,1214,185721,17599,23994,11470,"['奢香夫人', '演奏挑战赛', '音乐', '演奏', '音游', '演奏', '凤凰传奇', '音乐', '乌蒙山连着山外山', '黑暗笔录', '无间梦境', '纸嫁衣', '演奏挑战赛第六期']",60
究极难狗生存！当你开局只有「一格空间」!!？,BV12r4y1f7L3,https://b23.tv/BV12r4y1f7L3,马里奥红叔,5265275,7250,2359,365669,91633,84073,1914,"['游戏', '单机游戏', '我的世界', '沙盒游戏', '单机游戏', 'MINECRAFT', '全程高能', 'MC', '沙雕', '生存挑战', '打卡挑战']",1251
胃口不好，就吃一根面,BV1a34y1G7M7,https://b23.tv/BV1a34y1G7M7,Tiger西西,10115067,2761,1904,640846,36826,35009,5184,"['美食', '美食制作', '拌面', '一人食', '厨艺', '吃货', '搞笑', '美食vlog', '美食圈', '拉条子拌面', '沉浸式']",87
【原神HoYoFair】时代… 变了？,BV1Uh4y1A7Um,https://b23.tv/BV1Uh4y1A7Um,No_Tables,10304616,22496,15317,1157941,877990,712932,183933,"['原神UP主激励计划', '动画', 'MMD·3D', '原神', '动画', '生日会', 'Blender', 'Blender3D', 'HoYoFair']",382
今日，我虽死，（                        ）！！！！！,BV1DV411A7Ck,https://b23.tv/BV1DV411A7Ck,万灵缝合厂,9711808,19088,7000,825794,335301,237897,53080,"['Crazy On You', '鬼畜星探企划', '鬼畜', '鬼畜剧场', '项羽', '香蕉猫', 'Cheems', 'Happy猫', '刘邦']",361
见鬼 我浪费了三个月去画一块破石头,BV1rz4y1V7D3,https://b23.tv/BV1rz4y1V7D3,姨妈汪师傅,3140739,4788,4584,480666,256562,203549,30281,"['画画的日常', '生活', '绘画', '板绘', '历史', '石头', '美术', '速写', '原画', 'Procreate', '人类文明', '三个月', '一起来画画吧！二创挑战月']",256
【原神HoYoFair】 浮生若有归,BV1EK4y1F7fE,https://b23.tv/BV1EK4y1F7fE,哈米伦的弄笛者,3300596,8444,4633,468523,319099,324383,59503,"['原神UP主激励计划', '动画', '短片·手书', '古风', '原神', '动画', 'HoYoFair2023', '旅行者', '派蒙', 'HoYoFair']",201
《崩坏3》第二部预告,BV1oy4y1F75C,https://b23.tv/BV1oy4y1F75C,崩坏3第一偶像爱酱,4244434,20346,22716,331287,135917,79709,134868,"['游戏', '手机游戏', '崩坏3', '手机游戏', '二次元', '原创', '游戏', '预告', '崩坏3第二部', '崩坏3七周年', '米哈游', 'miHoYo']",163
当驾校来了印度教练！,BV1tC4y1f7mc,https://b23.tv/BV1tC4y1f7mc,薪儿姐师尊,7447621,17018,5765,640816,73989,53529,59113,"['B站小剧场', '影视', '小剧场', '印度', 'QQ飞车', '游戏', '无厘头', '原创', '薪儿姐师尊', 'QQ飞车绝色江西文创版本', '教练', '驾校', 'B站小剧场·夏日狂欢季']",305
李佳航：我接戏乱七八糟的，我有问题我承认，让我自己拧巴吧【预告版】,BV1Bu41137HQ,https://b23.tv/BV1Bu41137HQ,北京青年x壹次访谈录,3375974,4720,5752,130858,16707,16922,2685,"['镜头下的人生百态', '影视', '短片', '李佳航', '张伟', '明星', '爱情公寓', '喜剧', '演员', '九义人', '张益达', '社交媒体', 'B站短片计划']",230
【原神HoYoFair】《OH MY MY》LURE女团：夜兰优菈八重神子雷电将军,BV1GK4y1F75d,https://b23.tv/BV1GK4y1F75d,HoYoFair,3391026,3343,3188,516063,160225,316687,35907,"['动画', '综合', 'MMD', '原神', '同人', '女团', '原创音乐', '动画', '原神生日会', 'HoYoFair2023', 'Kpop', 'HoYoFair']",179
84个国家收视冠军！海贼王真人版值得一看吗？《海贼王》真人版P1,BV1Pm4y1L72t,https://b23.tv/BV1Pm4y1L72t,木鱼水心,3008299,26759,7256,168782,86411,35039,15222,"['佳片万字拆解大会', '影视', '影视杂谈', '路飞', '海贼王', '最强安利王', '真人版', 'ONE PIECE', '木鱼水心', 'NETFLIX', '尾田荣一郎', '航海王', '一千零一部']",5305
那些出了省就乱来的美食！,BV1d94y1p7zB,https://b23.tv/BV1d94y1p7zB,粤知一二,11163586,9175,10447,703125,15819,63449,8869,"['搞笑研究所', '生活', '搞笑', '粤语', '美食', '搞笑', '广东', '栋笃笑', '郭嘉峰', '地域差异', '粤知一二', '搞笑研究所2023 6.0人人都是爆梗王']",341
因为拍了江西辣，竟然被政府请去喝茶？,BV1484y1U7Qm,https://b23.tv/BV1484y1U7Qm,Meetfood觅食,7552691,14814,5636,279431,141573,109159,12289,"['上过最大的当，江西人说不辣', '美食', '美食侦探', '4K', '探店', '吃货', '美食', 'JoeJoe', '江西辣', 'QQ飞车绝色江西文创版本', '辣椒', '江西']",655
我大概一辈子不会忘记这部动画了......【泛式/mygo】,BV1C94y1p7yk,https://b23.tv/BV1C94y1p7yk,泛式,2949256,13435,9095,246768,145844,77503,25577,"['动画', '动漫杂谈', '搞笑', '新番', '恋爱', '泛式', '杂谈', '吐槽', ""It's MyGO!!!!!"", '7月新番', 'BanG Dream', 'MYGO']",1100
就算步子乱了又如何，接着跳下去就好了，高分经典《闻香识女人》,BV1rH4y1m7bC,https://b23.tv/BV1rH4y1m7bC,顾我电影,4543096,7658,2701,304358,57324,71033,6562,"['Bleeding Love', '带你看懂经典佳作', '影视', '影视杂谈', '最强安利王', '经典电影', '治愈', '励志', '闻香识女人', '影评杂谈', '成长', '温情', '男人必看', '高分经典']",1870
《原神》角色演示-「那维莱特：万水归一」,BV1FC4y1f7hW,https://b23.tv/BV1FC4y1f7hW,原神,3884333,13556,11240,252246,90465,49858,47369,"['游戏', '手机游戏', '原神', '枫丹', '原神4.1', '米哈游', 'miHoYo', '那维莱特']",193
黄 家 骑 士,BV1Kw411e7En,https://b23.tv/BV1Kw411e7En,老番茄,4662192,3104,1558,162325,13647,16612,2526,"['元梦之星开星造梦', '游戏', '手机游戏', '搞笑', '手机游戏', '高能', '实况', '老番茄', '游戏', '元梦之星', '元梦之星试营业', '元梦之星梗王乱斗']",621
《崩坏3》动画短片-「婚 前 旅 行」,BV1tu411u7Qm,https://b23.tv/BV1tu411u7Qm,特效小哥studio,1836804,2148,2463,260073,104095,106817,14904,[],0
【团建】六个人凑不出一句完整的江西话！,BV1Nw411m74y,https://b23.tv/BV1Nw411m74y,小缸,1227603,11955,4723,118438,147145,28029,7327,"['小缸和阿灿', '生活', '日常', '江西旅游', 'QQ飞车绝色江西文创版本', '学江西话', '江西', 'qq飞车', '江西方言', '南昌旅游']",1659
2013：10年后的中国，诺奖将成常态，而非个例！2023：求个例！,BV1nu4y147MQ,https://b23.tv/BV1nu4y147MQ,耿同学讲故事,2714329,15076,6918,172767,50471,29711,13081,"['分享我的专业知识', '知识', '社科·法律·心理', '诺奖', '科睿唯安', '预测', '科研', '拉斯克奖', '万物研究所·奖学金计划']",822
鉴定咬伤粉丝的毒蛇(2)老人自述被五步蛇咬伤！但其实并不是？应该用什么血清？,BV1fh4y1h7z3,https://b23.tv/BV1fh4y1h7z3,世界记忆大师龙雅,18509613,7828,10328,502442,93779,255664,5616,"['网络热门鉴定', '知识', '科学科普', '生物', '科学', '科普', '知识', '蛇', '自然', '万物研究所·第十期', '毒蛇', '全能打卡挑战', '万物研究所·奖学金计划']",426
挑战城市暴走10公里到小精灵家...【第三期】,BV1wN411E7A9,https://b23.tv/BV1wN411E7A9,雨哥到处跑,2766352,8863,1601,303941,87629,34860,3279,"['国庆放假整点啥', '生活', '搞笑', '健康', '户外', 'vlog', '美食', '搞笑', '生活', '运动', '暴走', '记录', '搞笑研究所2023 6.0人人都是爆梗王']",1058
是不是现在的电影宣传都这样...,BV1nj41187ho,https://b23.tv/BV1nj41187ho,小叮当的伙伴们,4610874,2340,3553,341718,22792,34701,12444,"['搞笑研究所', '生活', '搞笑', '搞笑', '全程高能', '电影', '原创', '模仿', '吐槽', '大学生', '电影宣传', '搞笑研究所2023 6.0人人都是爆梗王']",104
小潮team坐什么车？,BV1G34y1P7wx,https://b23.tv/BV1G34y1P7wx,小傲想睡觉,3704387,13637,1901,208948,60440,49668,2281,"['秋季爱车之旅', '汽车', '汽车生活', '汽车', 'vlog', '搞笑', '生活', '分享', '别克', 'MPV', '整活', '小潮team', 'e人i人的度假方式']",1018
papi酱不定期更新的日常——两年一度的月饼试吃大会又来了！！,BV1gw411m7YX,https://b23.tv/BV1gw411m7YX,papi酱,2471871,10462,4793,224724,21176,14133,8933,"['秋收九月·美食团圆会', '美食', '美食测评', '四季美食·秋收九月·美食团圆会']",846
服务好每一个爱窥屏的陌生人,BV1qu4y167Vm,https://b23.tv/BV1qu4y167Vm,-显眼宝-,5194997,2406,2953,644059,17621,32322,8940,"['社恐反击战', '影视', '小剧场', '七大罪', '七人传奇光与暗之交战', '显眼宝', '社恐搞笑', '七人传奇', 'B站小剧场·夏日狂欢季']",109
【王者敦煌第四季CG】吕布化身威武雷神，震天神鼓护佑从此皆坦途！,BV1m84y1D7or,https://b23.tv/BV1m84y1D7or,王者荣耀,1516583,968,4965,39941,5083,3013,9716,"['游戏', '电子竞技', '王者荣耀', '电子竞技', '王者荣耀敦煌第四季', '吕布敦煌皮肤CG', '王者敦煌第四季皮肤CG']",198
仅此一枚的胜机【水无月菌】,BV1e8411y7ps,https://b23.tv/BV1e8411y7ps,水无月菌,3146410,9128,6314,196524,127329,39060,18729,"['游戏', '桌游棋牌', '游戏王', '实况解说', '娱乐']",600
王老菊教你说谎变驴01,BV1t94y1a7cV,https://b23.tv/BV1t94y1a7cV,怕上火暴王老菊,1219204,16622,2956,52446,46990,14960,2882,"['游戏', '单机游戏', 'lies of P']",2998
真正的剑气究竟什么样？连自己都不相信的东西，怎么可能找得到呢？,BV1nK4y1F72K,https://b23.tv/BV1nK4y1F72K,剑客范十三,3509316,1680,1739,283115,16803,31460,1297,"['Barricades', '有亿点功夫', '运动', '运动综合', '正能量', '梦想', '徕芬', '徕芬吹风机', '武侠梦']",278
【九三X浅影】合唱《登场》，那一定很难！ 也一定很酷！,BV1Tu4y167Ri,https://b23.tv/BV1Tu4y167Ri,九三的耳朵不是特别好,1354396,2082,542,84226,10971,11218,1299,"['登场', '与刘德华一起为亚运助威', '音乐', '翻唱', '刘德华', '合唱', '杭州亚运', '亚运会', '对唱', '亚运会宣传曲《登场》']",207
如何让一个已婚男人迷途知返,BV1xu41137Kx,https://b23.tv/BV1xu41137Kx,三宋在这,2085740,4847,2146,138987,74592,15064,15220,"['生活', '日常', '婚礼', '情侣', '减肥', '健身', 'vlog', '搞笑', '情感', '运动', '恋爱', '瘦']",595
总有一天大马士革的玫瑰，会在叙利亚重新绽放,BV1jk4y1c7GZ,https://b23.tv/BV1jk4y1c7GZ,元莱Yilia,5258768,3551,4950,711543,199656,148204,15117,"['随手记录我的生活碎片', '生活', '日常', '情感', '正能量', '街头', '叙利亚', '记录', '世界和平', '感动', '生活万花筒7.0 搭上生活这辆慢车']",108
“小塔乔”的资产有多少？【奇葩小国49】,BV1Wz4y1L7zE,https://b23.tv/BV1Wz4y1L7zE,小约翰可汗,4910785,35103,8523,251849,120788,34433,6928,"['历史人文档案馆', '知识', '人文历史', '历史', '人文', '知识', '奇闻', '战争', '美洲', '世界史', '小国', '尼加拉瓜']",1815
普通人到底要怎么样修仙,BV1Bm4y1G7kB,https://b23.tv/BV1Bm4y1G7kB,江寻千,3309025,8984,4228,268906,168886,90122,14006,"['登录界面音乐 (大转移前) (Character Select Stage)', '做一种很新的手工', '生活', '手工', '手工', '炼银', '非遗', '绒花', '缠花', '缫丝', '通草花', '一起做手工吧！9.0手工大神来报道']",526
名将视角解读安史之乱（终章）：擎天之柱郭子仪,BV1Hj41187V4,https://b23.tv/BV1Hj41187V4,纪不住一周更up主,3750964,19735,2420,162465,33403,45510,2268,"['知识', '人文历史', '历史', '李白', '大唐', '名将', '解读', '安史之乱', '李隆基', '安禄山', '史思明', '郭子仪']",2542
如果没了中秋甚至春节 我们会变成什么样呢？,BV1xN411H73u,https://b23.tv/BV1xN411H73u,野游记_,3083241,1386,2051,248377,20530,37960,1835,"['生活', '出行', 'vlog', '野游记', '非遗', '天竺筷', '地平线8号']",181
华为 MatePad Pro 13.2详细体验 | 星闪加持 依旧领先 | 无边好屏 美到离谱,BV1im4y1G7pr,https://b23.tv/BV1im4y1G7pr,科技美学,1673535,13841,5458,53729,8786,5929,12062,"['科技', '数码', '平板电脑', '华为', '体验', '华为 MatePad Pro', '华为MatePad遥遥领先', '无边大平板好的没边', '星闪平板', '华为MatePad Pro 13.2测评', '华为发布会', 'HarmonyOS']",908
“奢 香 夫 人 官 方 M V”【唢呐】,BV1Y8411y7UW,https://b23.tv/BV1Y8411y7UW,浑元Rysn,1558759,1837,2268,95576,18409,9344,3738,"['奢香夫人', '演奏挑战赛', '音乐', '演奏', '演奏', '凤凰传奇', '浑元', '唢呐', '演奏挑战赛第六期']",191
“救赎也许是另一种折磨”,BV1xk4y1c73y,https://b23.tv/BV1xk4y1c73y,无法翱翔の纸鹤,1973243,1106,3654,180214,45639,60608,21291,"['Cradles', '暑期MAD创作大赏', '动画', 'MAD·AMV', '蕾姆', 'Re：从零开始的异世界生活', '4K', 'AMV', 'MAD', '绝望', '从零开始的异世界生活', '菜月昴', '爱蜜莉雅']",209
近年来最好的韩国电影《燃烧》：年轻人为何愤怒？,BV1d94y1p7dn,https://b23.tv/BV1d94y1p7dn,切片计划,2008520,6473,2627,121063,57789,62777,14205,"['佳片万字拆解大会', '影视', '影视杂谈', '燃冬', '韩国电影', '电影解说', '最强安利王', '影评杂谈', '李沧东', '燃烧', '史蒂文元']",2085
万字详拆芯片：人类算力被锁死了吗？,BV1Ap4y1w7a9,https://b23.tv/BV1Ap4y1w7a9,宁拨打的用户正忙,2139896,9918,5864,146369,131393,98335,18926,"['万物研究所', '知识', '科学科普', '显卡', '数码', '电路', '科技', '晶体管', '半导体', '芯片', '摩尔定律', '算力', '万物研究所·奖学金计划']",2247
【暗区突围版本PV】地下法则：安东尼家族的秩序,BV1u841117eM,https://b23.tv/BV1u841117eM,暗区突围,1272757,770,1433,52885,5582,11874,2630,"['游戏', '手机游戏', 'FPS', '腾讯', 'PV', '地下法则', '暗区制片厂', '魔方工作室', '多斯', '暗区突围']",115
凭什么东坡肉是杭州亚运会菜谱的第一道菜？今天教你个小秘诀！东坡肉～,BV13j411C7iA,https://b23.tv/BV13j411C7iA,安秋金,3110351,2869,2572,295054,7430,48557,5882,"['中秋美味打造计划', '美食', '美食制作', '美食', '杭州亚运', '东坡肉', '菜谱', '四季美食·秋收九月·美食团圆会']",171
我写了一首歌，送给所有女生的《初潮》,BV17p4y1P7G5,https://b23.tv/BV17p4y1P7G5,翠花不太脆,1839319,940,3324,243899,32784,46540,5270,"['初潮', '新世代音乐人计划女生季', '音乐', '原创音乐', '说唱', '原创音乐', '青春', '女生', '青年一派 唱响新声', '高洁丝', '生理期', '月经', '女生不简单']",143
《时空中的绘旅人》全新周年版本「漫长的箴言」PV首曝：箴言如歌，不缚时光,BV12V411A7Vy,https://b23.tv/BV12V411A7Vy,时空中的绘旅人,1688647,2652,3707,38918,14207,12353,8521,"['游戏', '手机游戏', '时空中的绘旅人', '路辰', '叶瑄', '司岚', '罗夏', '恋爱冒险', '艾因', '恋爱剧情']",224
不懂就问，现在很流行这种穿法吗？！啊？！,BV1w84y1D7Pa,https://b23.tv/BV1w84y1D7Pa,大沛沛沛吖,434939,213,251,7917,560,1276,115,"['时尚', '穿搭', '穿搭', '美拉德', '流行']",245
亚运火炬 开箱!,BV1gV411w7Su,https://b23.tv/BV1gV411w7Su,特效小哥studio,863992,107,119,15430,386,2796,113,"['杭州亚运会打卡计划', '运动', '运动综合', '体育', '科普', '搞笑', '科技', '火炬', '亚运会', '采访', '杭州']",136
【跟50岁妈妈学】3个作弊技巧！视觉减龄20岁！,BV1zz4y1V73w,https://b23.tv/BV1zz4y1V73w,酷哥李pink儿,1889098,712,867,36937,2323,51175,3997,"['换季好物清单', '时尚', '美妆护肤', '护发', 'Swisse叶黄素小蓝盾', '护眼', '干货', '母女', '分享', '化妆技巧', '减龄', '叶黄素', 'e人i人的度假方式']",382
如何在家用西瓜制造白砂糖,BV1bw411i7WQ,https://b23.tv/BV1bw411i7WQ,嘤武罗,18054191,15259,9201,1718562,526216,254770,20596,"['中秋美味打造计划', '美食', '美食制作', '西瓜', '美食制作', '糖', '四季美食·秋收九月·美食团圆会']",312
极限智斗！无限反转！牛顿转行侦探vs高智商疯批反派,BV1PN4y1X7iN,https://b23.tv/BV1PN4y1X7iN,迷因水母,10101252,17256,6893,884650,646037,642489,118998,"['历史人文档案馆', '知识', '人文历史', '英国', '侦探', '奇闻', '犯罪', '推理', '原创动画', '热血', '牛顿', '反诈']",951
这玩意凭什么火了1900年？？？！！！,BV15u411w7Mi,https://b23.tv/BV15u411w7Mi,黑猫厨房,7549990,9847,7741,597820,603706,127031,8639,"['我的手工高光时刻', '生活', '手工', '手工', '无骨针刺花灯', '造纸术', '非遗', '花灯', '造纸', '古法造纸', '一起做手工吧！9.0手工大神来报道']",410
偷子（2）,BV1FN411H79U,https://b23.tv/BV1FN411H79U,小潮院长,14538975,38862,11761,650846,276266,234047,17665,"['搞笑研究所', '生活', '搞笑', 'vlog', '搞笑', '生活', '生活记录', '高能', '游戏', '小潮', '沙雕', '小潮院长', '搞笑研究所2023 6.0人人都是爆梗王']",785
刘德华全新献唱！人民日报杭州亚运会助威曲《登场》,BV1az4y1L7dL,https://b23.tv/BV1az4y1L7dL,人民日报,10798513,10501,5274,524387,90708,86385,23935,"['音乐', 'MV', '刘德华', '体育', '运动', '音乐', '亚运']",267
南方人在北方上学要注意什么？,BV1x8411q7vf,https://b23.tv/BV1x8411q7vf,粤知一二,8715635,16223,14826,628637,18192,67490,14972,"['搞笑研究所', '生活', '搞笑', '粤语', '搞笑', '校园', '开学', '广东', '栋笃笑', '郭嘉峰', '地域差异', '粤知一二', '搞笑研究所2023 6.0人人都是爆梗王']",475
华为能挡子弹？Mate 60 Pro 碾压 跌落 实弹测试！,BV1L94y1p72w,https://b23.tv/BV1L94y1p72w,先看评测,5506519,30027,7894,474127,378479,72797,34447,"['数码研究所', '科技', '数码', '手机', '测试', '华为', '科技', 'Mate 60 Pro', '碾压', '实弹', '跌落', '子弹']",589
你能从虚空中通关我的世界吗？,BV1DH4y1D7sJ,https://b23.tv/BV1DH4y1D7sJ,喜欢旅拍的阿玮,5816705,11790,3262,512757,303743,162083,10354,"['Dynasty (Elephante Remix)', '整点电子榨菜', '游戏', '单机游戏', '我的世界', '沙盒游戏', '生存', 'MC', '游戏', '通关MC', '极限模式']",1623
《崩坏：星穹铁道》符玄角色PV——「法眼无遗」,BV1R94y1W7pL,https://b23.tv/BV1R94y1W7pL,崩坏星穹铁道,4738909,22947,13872,332599,134472,70132,63440,"['游戏', '手机游戏', '崩坏：星穹铁道', '崩坏星穹铁道', '符玄', '角色PV', '米哈游', 'miHoYo', '青雀']",114
换C口，有意义吗？iPhone15Pro实机评测！,BV1nV411A7pe,https://b23.tv/BV1nV411A7pe,影视飓风,8055591,45495,14769,441305,267650,94780,63750,"['2023苹果秋季新品', '科技', '数码', 'iPhone', '4K', '手机', '开箱', '评测', '创意', 'iphone15', 'iphone15pro', 'iOS']",1510
哥们你谁？,BV1im4y1P7B1,https://b23.tv/BV1im4y1P7B1,高斯Goh,9585093,38075,4232,432720,136097,128964,6018,"['PARADISE GOGO', '搞笑新星训练营', '生活', '搞笑', '搞笑', '聚会', '日常', '高能', '生活', '桌游', '游戏', '沙雕', '小潮team', '搞笑研究所2023 6.0人人都是爆梗王']",775
《原神》那维莱特角色PV——「水中之眼」,BV1iP411b7fH,https://b23.tv/BV1iP411b7fH,原神,3710946,13863,11062,275078,81691,50628,48479,"['游戏', '手机游戏', '原神', '原神4.1', '米哈游', 'miHoYo', '那维莱特']",102
火柴人 VS 我的世界系列 第三十二集 厨师（The Chef）,BV1Kp4y1P7sn,https://b23.tv/BV1Kp4y1P7sn,火柴人AlanBecker,6950310,30657,5645,342920,129851,189194,14388,"['动画小剧场热闹一夏', '动画', '短片·手书', '火柴人', '动画短片', '我的世界', '短片', '原创动画', '动画', '厨师', '火柴人动画', '动画小剧场·热闹一夏']",1019
那些结婚说不哭的人，最后会哭成啥样？,BV148411v7hD,https://b23.tv/BV148411v7hD,山城小栗旬的理发日记,6373993,4032,3661,595687,61789,36280,9109,"['值得纪念的一天', '时尚', '美妆护肤', '结婚', '兄弟', '情谊', '发小', '生活万花筒7.0 搭上生活这辆慢车']",341
【每天早晨5点起床】我的身体发生了什么变化?!,BV1u8411v7mc,https://b23.tv/BV1u8411v7mc,帅soserious,6261997,7285,6230,219637,66038,86164,22073,"['秋日·舒爽健身季', '运动', '健身', '健身', '减脂', '别赶路去感受路', '沃尔沃旅行家俱乐部', '早起', '熬夜', '睡眠', '沃尔沃XC60', '昼夜节律']",736
苹果A17 Pro评测：很先进，但能效不够好！,BV1gm4y157No,https://b23.tv/BV1gm4y157No,极客湾Geekerwan,2725500,23764,14191,147240,105263,24736,24502,"['科技', '数码', '评测', '苹果', 'iPhone15', 'iPhone 15 Pro', '苹果15', 'iPhone 15 Pro Max', 'A17 Pro', 'A17', 'iPhone 15', 'iPhone15Pro']",1786
奥运会上最成功的失败者是谁？【硬核狠人59】,BV1mk4y1w7ki,https://b23.tv/BV1mk4y1w7ki,小约翰可汗,4070210,24277,5050,246578,109262,38161,10205,"['买Apple新品就来拼多多百亿补贴', '知识', '人文历史', '奥运会', '历史', '英国', '人文', '奇闻', '意大利', '知识', '人物', '世界史', '历史人文档案馆']",1772
【星穹铁道】剧情短片-「龙心，我心」,BV19h4y1w7pX,https://b23.tv/BV19h4y1w7pX,超想吃番茄,1249956,3307,3674,186441,148458,124066,25631,"['崩坏：星穹铁道创作者激励计划', '游戏', '手机游戏', '崩坏：星穹铁道', '短片', '剧情短片', '丹恒', '饮月', '仙舟', '云上五骁', '天镜映劫尘']",503
